Residuo,Classe,Tipo,Ecoponto,IlhaEcologica,LixeiraSubterranea,RetornaMachine,AssociacaodeCatadores,Miniecoponto,CentrodeRecondicionamentoTecnologicoCITINOVA,Reciclo,Tiratreco,ColetaDomiciliar,NaRua,EscolasMunicipaisPEVs,ColetadePilhas,Ecoenel,DescarteMedicamentos,LogisticaReversa
Livros,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"Longa Vida - Embalagens de Bebidas de até 2,5L com exceção de Lácteos",Reciclável,Misto,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
Madeiras,Reciclável,Orgânico/Poda,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Maquiagens,Comum,Misto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Máquinas de escrever,Reciclável,Misto,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Máquinas lavadoras de pratos,Comum,Volumoso,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Máquinas lavadoras de roupas,Comum,Volumoso,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Máquinas secadoras de roupas,Comum,Volumoso,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Materiais de limpeza doméstica,Comum,Misto,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Materiais Orgânicos,Comum,Orgânico,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Material escolar,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Medicamentos,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Melissa,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Metais,Reciclável,Metal,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0
Monitores CRT,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Monitores LCD,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Monitores LED,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mouses,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Móveis,Reciclável,Volumoso,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Móveis de madeira,Reciclável,Entulho,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Móveis de metal,Reciclável,Volumoso,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
Móveis de plástico,Reciclável,Plástico,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0
Móveis de vidro,Reciclável,Vidro,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0
