Nome,Ponto_de_Coleta,Endereco,Bairro,Bonificacao,Horario_de_funcionamento,x,y
Pão De Açucar Loja 1257,Coleta de Pilhas,"Avenida Da Abolição, 3790",Meireles,Não,Verificar com a empresa,-38.48580004,-3.725859981
Pão De Açucar Loja 1298,Coleta de Pilhas,"Avenida Senador Virgílio Távora, 2270",Dionisio Torres,Não,Verificar com a empresa,-38.49651001,-3.746799987
Pão De Açucar Loja 2374,Coleta de Pilhas,"Avenida Washington Soares, 1500",Edson Queiroz,Não,Verificar com a empresa,-38.48232004,-3.772649986
Philips - Central Tec B&B Com Ser,Coleta de Pilhas,"Rua Monsenhor Salazar, 624",Tauape,Não,Verificar com a empresa,-38.51407999,-3.756189981
Escola Municipal Dois De Dezembro,Escolas Municipais PEVs,"Rua Araquém, 860",Barra Do Ceará,Não,7:00 às 16:00,-38.58034347,-3.709094479
Escola Municipal Nossa Senhora Aparecida,Escolas Municipais PEVs,"Rua Teresa Cristina, 112",Centro,Não,7:00 às 16:00,-38.5354673,-3.721528016
Escola Municipal Sao Rafael,Escolas Municipais PEVs,"Rua Dos Tabajaras, 244",Praia De Iracema,Não,7:00 às 16:00,-38.51780027,-3.719331842
Escola Municipal Frei Tito De Alencar Lima,Escolas Municipais PEVs,"Av. Dioguinho, 5925",Praia Do Futuro Ii,Não,7:00 às 16:00,-38.44064926,-3.765167801
Escola Municipal Antonio Sales,Escolas Municipais PEVs,"Rua Tavares Iracema, 675",Rodolfo Teófilo,Não,7:00 às 16:00,-38.55737171,-3.748437753
Escola Municipal De Tempo Integral Professor Joaquim Francisco De Sousa Filho,Escolas Municipais PEVs,"Rua Joaquim Marques, 13",Presidente Kennedy,Não,7:00 às 16:00,-38.57056303,-3.730729422
Escola Municipal Geisa Firmo Goncalves,Escolas Municipais PEVs,"Rua Zuleica Pontes, 1260",Planalto Ayrton Senna,Não,7:00 às 16:00,-38.56614658,-3.831986418
Escola Municipal Haroldo Jorge Braun Vieira,Escolas Municipais PEVs,"Av. Lauro Vieira Chaves, 55",Aeroporto,Não,7:00 às 16:00,-38.52794714,-3.773442555
Escola Municipal Marcos Valentim Pereira De Souza,Escolas Municipais PEVs,"Rua Freire Alemão, 91",Serrinha,Não,7:00 às 16:00,-38.54262187,-3.78210416
Escola Municipal De Tempo Integral Filgueiras Lima,Escolas Municipais PEVs,"Av. Dos Expedicionários, 3910",Jardim América,Não,7:00 às 16:00,-38.53813471,-3.752454437
Escola Municipal Jonathan Da Rocha Alcoforado,Escolas Municipais PEVs,"Rua Maria Gomes De Sá, 1030",Mondubim,Não,7:00 às 16:00,-38.58087155,-3.825943818
Escola Municipal Herbert De Souza,Escolas Municipais PEVs,"Rua Urucutuba, 1599",Bom Jardim,Não,7:00 às 16:00,-38.60800574,-3.797150095
Escola Municipal Narciso Pessoa De Araujo,Escolas Municipais PEVs,"Av. General Osório De Paiva, 4841",Canindezinho,Não,7:00 às 16:00,-38.5987133,-3.801750131
Escola Municipal Professor Jose Cirio Pereira Filho,Escolas Municipais PEVs,"Rua Quartzo Rosa, 100",Siqueira,Não,7:00 às 16:00,-38.62306898,-3.805374135
Escola Municipal Tertuliano Cambraia,Escolas Municipais PEVs,"Rua Monsenhor Rosa, 947",Carlito Pamplona,Não,7:00 às 16:00,-38.55512092,-3.712855643
Escola Municipal Professor Manuel Eduardo Pinheiro Campos,Escolas Municipais PEVs,"Rua Miriú, 500",Edson Queiroz,Não,7:00 às 16:00,-38.44554253,-3.791118092
Escola Municipal Professora Aida Santos E Silva,Escolas Municipais PEVs,"Av. Trajano De Medeiros, 813",Vicente Pinzón,Não,7:00 às 16:00,-38.46550581,-3.728171931
Escola Municipal Washington Soares,Escolas Municipais PEVs,"Rua Do Corrente, 400",Edson Queiroz,Não,7:00 às 16:00,-38.47710461,-3.778090509
Escola Municipal De Tempo Integral Professora Antonieta Cals,Escolas Municipais PEVs,"Rua Monsenhor Salazar, 1480",Tauape,Não,7:00 às 16:00,-38.5061886,-3.755427438
Escola Municipal Professor Jose Militao De Albuquerque,Escolas Municipais PEVs,"Rua 1145, 14",Conjunto Ceará I,Não,7:00 às 16:00,-38.61025941,-3.759795083
Escola Municipal Raimundo De Moura Matos,Escolas Municipais PEVs,"Av. Dois De Maio, 1300",Passaré,Não,7:00 às 16:00,-38.53818349,-3.813637953
Escola Municipal Professora Fernanda Maria De Alencar Colares,Escolas Municipais PEVs,"Av. Profº José Artur De Carvalho, 1540",Lagoa Redonda,Não,7:00 às 16:00,-38.45177387,-3.820316193
Escola Municipal Professora Maria Antonezia Meireles E Sa,Escolas Municipais PEVs,"Rua Coronel Virgílio Távora, 1340",Barroso,Não,7:00 às 16:00,-38.50548265,-3.818307995
Mercado Das Flores,Ilha Ecológica,"Rua Prof. Mário Rocha, 11",Joaquim Távora,Não,Aberto 24h,-38.5165089,-3.7523078
Parque Rachel De Queiroz,Ilha Ecológica,"Rua Edgar Falcão, 129",Presidente Kennedy,Não,Aberto 24h,-38.57089942,-3.732320263
Praca Dragão Do Mar,Ilha Ecológica,Avenida Pessoa Anta,Centro,Não,Aberto 24h,-38.51994383,-3.72093128
Campo Do América,Ilha Ecológica,Rua José Vilar,Meireles,Não,Aberto 24h,-38.50301735,-3.730836934
Praça Das Flores,Ilha Ecológica,Avenida Desembargador Moreira,Aldeota,Não,Aberto 24h,-38.49878056,-3.738370324
Praca Luiza Távora,Ilha Ecológica,"Avenida Santos Dumont, 1589",Aldeota,Não,Aberto 24h,-38.50968119,-3.731084945
Lagoa Do Mondubim,Ilha Ecológica,"Rua São Lázaro, 499",Novo Modubim,Não,Aberto 24h,-38.5800054,-3.8019874
Lagoa Da Maraponga,Ilha Ecológica,"Avenida Godofredo Maciel, 1494",Maraponga,Não,Aberto 24h,-38.5674177,-3.79144
Conjunto Esperança,Ilha Ecológica,"Avenida Contôrno Norte, 981",Conjunto Esperança,Não,Aberto 24h,-38.5880618,-3.8140593
Guararapes,Ilha Ecológica,"Rua Olavo Lima Silva, 180",Guararapes,Não,Aberto 24h,-38.4892689,-3.7585451
Regional V,Ilha Ecológica,"Avenida Oscar Araripe, 1030",Bom Jardim,Não,Aberto 24h,-38.6005641,-3.7907004
Marco Zero,Ilha Ecológica,"Avenida Rad. José Lima Verde, 289",Barra do Ceará,Não,Aberto 24h,-38.5865441,-3.6948105
Praça Argentina Castelo Branco,Ilha Ecológica,"Rua Dr. Costa Araújo, 860",Fátima,Não,Aberto 24h,-38.5294617,-3.7474174
Praça Cidade 2000,Ilha Ecológica,"Avenida Central, 190a",Cidade 2000,Não,Aberto 24h,-38.4714894,-3.7501026
Lago Jacarey,Ilha Ecológica,Avenida Viena Weyne,Cidade dos Funcionários,Não,Aberto 24h,-38.4895889,-3.8010029
Parque Del Sol,Ilha Ecológica,"Rua Joãozito Arruda, 405",Parque Iracema,Não,Aberto 24h,-38.4963337,-3.8063967
Calçadão Manoel Sátiro,Ilha Ecológica,"Rua Francisco Glicério, 1707",Manuel Sátiro,Não,Aberto 24h,-38.5766677,-3.7948988
Thiago Lanches,Ilha Ecológica,"Rua Fernando Farias de Melo, 72",Manuel Sátiro,Não,Aberto 24h,-38.5782518,-3.7907517
Polo Conjunto Ceará I,Ilha Ecológica,"Avenida Ministro Albuquerque Lima, 738",Conjunto Ceará I,Não,Aberto 24h,-38.6056743,-3.7698118
Parque Rachel De Queiroz,Ilha Ecológica,"Rua Licurgo Montenegro, s/n",Presidente Kennedy,Não,Aberto 24h,-38.5721264,-3.734933
Praça Maraponga Mart Moda,Ilha Ecológica,Praça das Artes MRV,Dendê,Não,Aberto 24h,-38.5622275,-3.7948349
Praca Braz Francesco,Ilha Ecológica,Rua Braz de Francesco,Presidente Kennedy,Não,Aberto 24h,-38.5674422,-3.7341933
Parquelandia,Ilha Ecológica,"Rua Padre Guerra, 2396",Parquelândia,Não,Aberto 24h,-38.5657044,-3.7408063
Aracapé,Ilha Ecológica,"Avenida C, 823",Aracapé,Não,Aberto 24h,-38.5897109,-3.8293757
AGEFIS,Ilha Ecológica,"Rua Francisco Jose Albuquerque Pereira, 414",Cajazeiras,Não,Aberto 24h,-38.5049798,-3.8118413
Lixeira Dragão do Mar,Miniecoponto,Avenida Pessoa Anta,Centro,Não,Aberto 24h,-38.51997085,-3.720922248
Lixeira Rachel de Queiroz,Miniecoponto,Rua Edgar Falcão,Presidente Kennedy,Não,Aberto 24h,-38.57228569,-3.734959102
Lixeira Campo do América,Miniecoponto,Rua José Vilar,Meireles,Não,Aberto 24h,-38.5029999,-3.730806318
Lixeira Praça das Flores,Miniecoponto,Avenida Desembargador Moreira,Aldeota,Não,Aberto 24h,-38.49878097,-3.73834215
Lixeira Luiza Tavora,Miniecoponto,"Avenida Santos Dumont, 1589",Aldeota,Não,Aberto 24h,-38.50967982,-3.731070987
Lixeira Mercado Joaquim Távora,Miniecoponto,Praça Joaquim Távora,Joaquim Távora,Não,Aberto 24h,-38.51664395,-3.752314025
Centro de Recondicionamento Tecnológico - CITINOVA,Centro de Recondicionamento Tecnológico - CITINOVA,"Rua dos Tremembés, 2",Praia de Iracema,Não,8:00-17:00,-38.51584171,-3.71894888
CUCA Barra do Ceará,Retorna Machine,"Av. Pres. Castelo Branco, 6417",Barra do Ceará,Sim,"Seg a Sex 8h às 22h,  Sáb 8h às 18h",-38.58762196,-3.700602993
CUCA Mondubim,Retorna Machine,R. Prof. Glauco Lobo,Novo Mundubim,Sim,"Seg a Sex 8h às 22h,  Sáb 8h às 18h",-38.58006365,-3.806146158
CUCA Jangurussu,Retorna Machine,"Av. Gov. Leonel Brizola, s/n",Jangurussu,Sim,"Seg a Sex 8h às 22h,  Sáb 8h às 18h",-38.52068119,-3.831007116
CUCA José Walter,Retorna Machine,R. 69 - Pref. José Walter,Prefeito José Walter,Sim,"Seg a Sex 8h às 22h, Sáb 8h às 18h",-38.55499981,-3.830537887
CUCA Pici,Retorna Machine,"R. Cel. Matos Dourado, 1499",Pici,Sim,"Seg a Sex 8h às 22h,  Sáb 8h às 18h",-38.58217275,-3.752488737
"Praça Terminal Conjunto Ceará, Sn",Retorna Machine,Av. L,Conjunto Ceará II,Sim,24h,-38.607545,-3.772986
"Praça Terminal Papicu, Sn",Retorna Machine,R. Pereira de Miranda,Papicu,Sim,24h,-38.484761,-3.738568
"Praça Terminal Parangaba, Sn",Retorna Machine,Av. Carlos Amora,Parangaba,Sim,24h,-38.56358,-3.775878
"Praça Terminal Antonio Bezerra, Sn",Retorna Machine,Rod. Pres. Juscelino Kubitschek,Padre Andrade,Sim,24h,-38.584548,-3.73752
"Praça Terminal Lagoa, Sn",Retorna Machine,R. Gomes Brasil,Parangaba,Sim,24h,-38.569879,-3.771151
"Praça Terminal Siqueira, Sn",Retorna Machine,Av. Gen. Osório de Paiva,Vila Peri,Sim,24h,-38.586853,-3.789302
"Praça Terminal Messejana, Sn",Retorna Machine,Av. Jornalista Tomaz Coelho,Messejana,Sim,24h,-38.502458,-3.831156
"Praça Terminal Siqueira, Sn",Retorna Machine,Av. Gen. Osório de Paiva,Vila Peri,Sim,24h,-38.58685004,-3.789304803
Ecoenel - Acores,Ecoenel,"Rua Frei Alemão, 210",Serrinha,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.5432714,-3.783289
Ecoenel - Assaí­ Parangaba,Ecoenel,"Av. Godofredo Maciel, 86",Parangaba,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.5647245,-3.7783327
Ecoenel - Associação Reciclando,Ecoenel,"Av. Plácido Castelo, 284",Jardim das Oliveiras,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.5089526,-3.7841259
Ecoenel - Dias Macedo (Super do Povo),Ecoenel,"Rua XII, 200",Passaré,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.5326733,-3.7937342
Ecoenel - Eletrônicos - Castelão,Ecoenel,"Av. Paulino Rocha,1690",Barroso,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.511853,-3.8115779
Ecoenel - Eletrônicos - Iguatemi,Ecoenel,"Av. Washington Soares, 85",Edson Queiroz,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.4889031,-3.7558476
Ecoenel - Grand Shopping Messejana,Ecoenel,"Rua Madre Ana Couto, 300",Messejana,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.4984272,-3.8187782
Ecoenel - Maraponga Mart Moda,Ecoenel,"Rua Altair, 87",Maraponga,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.5638673,-3.7957717
Ecoenel - Mondubim,Ecoenel,"Av. Godofredo Maciel, 6061",Mondubim,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.5796446,-3.82695
Ecoenel - Pirambu,Ecoenel,"Rua Jacinto de Matos, 554",Fortaleza,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.5464905,-3.7159217
Ecoenel - Presidente Kennedy,Ecoenel,"Praça Jonas  Gomes de Freitas, Rua 03 -  n 255",Presidente Kennedy,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.5680779,-3.7341881
Ecoenel - Reserva Open Mal,Ecoenel,"Av. Washington Soares, 3340",Parque Manibura,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.480945,-3.7878871
Ecoenel - Sebrae Praia de Iracema,Ecoenel,"Rua Dr. Atualpa barbosa lima, 394",Praia de Iracema,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.5114401,-3.7233092
Ecoenel - Shopping RioMar (estacionamento),Ecoenel,Rio Mar saida Prisco Bezerra,Papicu,Sim,Seg a sex (8 às 12h e 14 às 17h),-38.4739921,-3.7401141
Farmácia Drogasil Abolição,Descarte Medicamentos,"Avenida da Abolição, 3038",Meireles,Não,Todos os dias 07:00 às 23:00,-38.4920944223616,-3.72714921192127
Farmácia Drogasil Aldeota,Descarte Medicamentos,"Avenida Santos Dumont, 2390",Aldeota,Não,Todos os dias 07:00 às 23:00,-38.5035554438233,-3.73478015719217
Farmácia Drogasil Aldeota 5,Descarte Medicamentos,"Avenida Santos Dumont, 3030",Aldeota,Não,Todos os dias 07:00 às 23:00,-38.4978871711026,-3.7365490610032
Farmácia Drogasil Aldeota 6,Descarte Medicamentos,"Avenida Desembargador Moreira, 940",Aldeota,Não,Todos os dias 07:00 às 23:00,-38.4978581013167,-3.73396717163028
Farmácia Drogasil Aldeota 7,Descarte Medicamentos,"Vicente Linhares, 74",Aldeota,Não,Todos os dias 07:00 às 23:00,-38.5033637175897,-3.7413040436656
Farmácia Drogasil Aldeota 8,Descarte Medicamentos,"Avenida Senador Virgílio Távora, 2201",Dionisio Torres,Não,Todos os dias 07:00 às 23:00,-38.4957498508994,-3.74560962237457
Farmácia Drogasil Antonio Sales,Descarte Medicamentos,"Avenida Antônio Sales, 1840",Dionisio Torres,Não,Todos os dias 07:00 às 23:00,-38.5075506444017,-3.74415019358664
Farmácia Drogasil Barão de Studart,Descarte Medicamentos,"Avenida Barão De Studart, 1501",Aldeota,Não,Todos os dias 07:00 às 23:00,-38.5072609815236,-3.73758760173871
Farmácia Drogasil Cambeba 1,Descarte Medicamentos,"Avenida Pedro Lazar, 877",Cambeba,Não,Todos os dias 07:00 às 23:00,-38.4883133127376,-3.80318458986312
Farmácia Drogasil Cidade dos Funcionários,Descarte Medicamentos,"Rua Chico Lemos, 1011",Cidades dos Funcionários,Não,Todos os dias 07:00 às 23:00,-38.4967903108302,-3.79598066608851
Farmácia Drogasil Dom Luis,Descarte Medicamentos,"Avenida Dom Luís, 1139",Meireles,Não,Todos os dias 07:00 às 23:00,-38.4902515444019,-3.73519676271071
Farmácia Drogasil Fatima 1,Descarte Medicamentos,"Avenida Treze de Maio, 1948",Fátima,Não,Todos os dias 07:00 às 23:00,-38.5348133431737,-3.74435600397009
Farmácia Drogasil Guararapes 1,Descarte Medicamentos,"Avenida Coronel Miguel Dias, 718",Guararapes,Não,Todos os dias 07:00 às 23:00,-38.4879560502592,-3.76414558910236
Farmácia Drogasil Jardim Cearense,Descarte Medicamentos,"Avenida Godofredo Maciel, 3101",Jardim Cearense,Não,Todos os dias 07:00 às 23:00,-38.5716488160452,-3.80316242792914
Farmácia Drogasil Joaquim Tavora 1,Descarte Medicamentos,"Avenida Antônio Sales, 666",Joaquim Távora,Não,Todos os dias 07:00 às 23:00,-38.5157094338289,-3.74154322004367
Farmácia Drogasil Joquei Clube 1,Descarte Medicamentos,"Avenida Augusto Dos Anjos, 352",Jóquei Clube,Não,Todos os dias 07:00 às 23:00,-38.57199602196,-3.77186091986061
Farmácia Drogasil Luciano Cavalcante 1,Descarte Medicamentos,"Avenida Coronel José Philomeno Gomes, S/N",Engenheiro Luciano Cavalcante,Não,Todos os dias 07:00 às 23:00,-38.4881112500385,-3.77713331387945
Farmácia Drogasil Meireles,Descarte Medicamentos,"Avenida Desembargador Moreira, 707",Meireles,Não,Todos os dias 07:00 às 23:00,-38.4968474524794,-3.73217273140215
Farmácia Drogasil Meireles 4,Descarte Medicamentos,"Avenida Rui Barbosa, 783",Meireles,Não,Todos os dias 07:00 às 23:00,-38.5073271799842,-3.73002407750321
Farmácia Drogasil Meireles 5,Descarte Medicamentos,"Avenida Monsenhor Tabosa, 1400",Meireles,Não,Todos os dias 07:00 às 23:00,-38.5067135620255,-3.72454877282224
Farmácia Drogasil Messejana,Descarte Medicamentos,"Avenida Frei Cirilo, 4080",Messejana,Não,Todos os dias 07:00 às 23:00,-38.4965068006851,-3.81993465298677
Farmácia Drogasil Padre Antônio,Descarte Medicamentos,"Avenida Padre Antônio Tomás, 3416",Cocó,Não,Todos os dias 07:00 às 23:00,-38.4814824444017,-3.7463167244682
Farmácia Drogasil Papicu 1,Descarte Medicamentos,"Avenida Santos Dumont, 6385",Papicu,Não,Todos os dias 07:00 às 23:00,-38.4751900097145,-3.74358969757594
Farmácia Drogasil Papicu 2,Descarte Medicamentos,"Rua Desembargador Lauro Nogueira, 1500",Papicu,Não,Todos os dias 07:00 às 23:00,-38.4717748314213,-3.74113598588081
Farmácia Drogasil Parquelandia,Descarte Medicamentos,"Avenida Jovita Feitosa, 3194",Parquelândia,Não,Todos os dias 07:00 às 23:00,-38.5664245811523,-3.74169962465465
Farmácia Drogasil Parquelandia 2,Descarte Medicamentos,"Avenida Bezerra de Menezes, 1409",São Gerardo,Não,Todos os dias 07:00 às 23:00,-38.557257947346,-3.73449153850014
Farmácia Drogasil Pontes Vieira,Descarte Medicamentos,"Avenida Pontes Vieira, 1486",Tauape,Não,Todos os dias 07:00 às 23:00,-38.5087684916406,-3.75241928624609
Farmácia Drogasil Salinas 1,Descarte Medicamentos,"Avenida Rogaciano Leite, 2080",Salinas,Não,Todos os dias 07:00 às 23:00,-38.4988839827419,-3.77282547229676
Farmácia Drogasil Santos Dumont,Descarte Medicamentos,"Avenida Santos Dumont, 1261",Aldeota,Não,Todos os dias 24h,-38.5123845296806,-3.73142600352588
Farmácia Drogasil Santos Dumont 2,Descarte Medicamentos,"Avenida Santos Dumont, 5916",Cocó,Não,Todos os dias 07:00 às 23:00,-38.4795822742349,-3.74266133629186
Farmácia Drogasil São Gerardo 1,Descarte Medicamentos,"Avenida Bezerra De Menezes, 720",São Gerardo,Não,Todos os dias 07:00 às 23:00,-38.5572543357761,-3.73448686285981
Farmácia Drogasil Sapiranga,Descarte Medicamentos,"Avenida Edilson Brasil Soares, 1060",Sapiranga,Não,Todos os dias 07:00 às 23:00,-38.4765048010814,-3.78930317805512
Farmácia Drogasil Senador Virgilio Távora,Descarte Medicamentos,"Avenida Senador Virgílio Távora, 1550",Meireles,Não,Todos os dias 07:00 às 23:00,-38.4942652032974,-3.73985462446051
Farmácia Drogasil Tibúrcio Cavalcante,Descarte Medicamentos,"Rua Tibúrcio Cavalcante, 801",Meireles,Não,Todos os dias 07:00 às 23:00,-38.5010327430947,-3.73184887429342
Farmácia Drogasil Vila Manoel Satiro,Descarte Medicamentos,"Rua Waldir Diogo, 1138",Mondubim,Não,Todos os dias 07:00 às 23:00,-38.5869287236312,-3.80075028216923
Farmácia Drogasil Vila Velha 1,Descarte Medicamentos,"Rua Cariús, 820",Vila Velha,Não,Todos os dias 07:00 às 23:00,-38.596189938558,-3.72059827486954
Farmácia Escola da UFC,Descarte Medicamentos,"R. Pastor Samuel Munguba, 1210",Rodolfo Teofilo,Não,07 às 17h(seg a sex),-38.550045,-3.7483892
Farmácia Hiper Bom Preço,Descarte Medicamentos,"Av. Engenheiro Santana Junior, 999",Papicu,Não,Seg a sab (07 às 22h) / dom (07 às 20h),-38.4825613,-3.7366511
Farmácia Santa Branca,Descarte Medicamentos,Avenida Central. 190-A,Cidade 2000,Não,Seg a sex (08 as 17h),-38.47149,-3.750197
Farmacia Pague menos (Centro),Descarte Medicamentos,"Rua Senador Pompeu, 1520",Pici,Não,Seg a dom (24 h),-38.5312348,-3.731947
